GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AllInOne Shop API,com.allinoneshop.repository,ProductRepository,23,172,7,17,5,31,9,21,3,15
AllInOne Shop API,com.allinoneshop.repository,BrandRepository,4,65,0,2,2,15,1,9,1,8
AllInOne Shop API,com.allinoneshop.repository,StoreRepository,9,63,0,2,2,16,2,8,2,7
AllInOne Shop API,com.allinoneshop.repository,UserRepository,17,68,0,2,5,15,3,9,3,8
AllInOne Shop API,com.allinoneshop.repository,ProductPriceRepository,124,49,21,1,19,12,22,5,11,5
AllInOne Shop API,com.allinoneshop.repository,CategoryRepository,4,79,0,2,2,18,1,11,1,10
AllInOne Shop API,com.allinoneshop.repository,FavoriteRepository,26,119,10,12,6,19,14,11,4,10
AllInOne Shop API,com.allinoneshop.repository,SearchHistoryRepository,50,109,8,6,10,24,11,9,5,8
AllInOne Shop API,com.allinoneshop,AllInOneShopApplication,8,0,0,0,3,0,2,0,2,0
AllInOne Shop API,com.allinoneshop.dto.auth,AuthResponse,150,28,30,0,2,5,23,5,8,5
AllInOne Shop API,com.allinoneshop.dto.auth,RegisterRequest,179,31,38,0,1,6,24,9,5,9
AllInOne Shop API,com.allinoneshop.dto.auth,LoginRequest,107,17,22,0,1,4,16,5,5,5
AllInOne Shop API,com.allinoneshop.dto.auth,AuthResponse.AuthResponseBuilder,9,28,0,0,0,1,1,5,1,5
AllInOne Shop API,com.allinoneshop.entity.enums,Gender,0,21,0,0,0,4,0,1,0,1
AllInOne Shop API,com.allinoneshop.entity.enums,Role,0,15,0,0,0,3,0,1,0,1
AllInOne Shop API,com.allinoneshop.security,JwtTokenProvider,84,0,0,0,31,0,6,0,6,0
AllInOne Shop API,com.allinoneshop.security,JwtAuthenticationFilter,78,0,8,0,18,0,7,0,3,0
AllInOne Shop API,com.allinoneshop.config,SecurityConfig,281,0,0,0,41,0,9,0,9,0
AllInOne Shop API,com.allinoneshop.config,WebSocketConfig,40,0,0,0,8,0,3,0,3,0
AllInOne Shop API,com.allinoneshop.exception,GlobalExceptionHandler,63,0,0,0,21,0,7,0,7,0
AllInOne Shop API,com.allinoneshop.dto,ProductDTO.ProductDTOBuilder,57,116,0,0,0,1,3,17,3,17
AllInOne Shop API,com.allinoneshop.dto,PagedResponse,153,37,22,0,2,7,21,7,10,7
AllInOne Shop API,com.allinoneshop.dto,BrandDTO,140,32,30,0,0,7,21,7,6,7
AllInOne Shop API,com.allinoneshop.dto,StoreDTO,210,48,46,0,0,9,30,10,7,10
AllInOne Shop API,com.allinoneshop.dto,UserDTO,261,40,54,0,3,7,39,7,12,7
AllInOne Shop API,com.allinoneshop.dto,BrandDTO.BrandDTOBuilder,9,28,0,0,0,1,1,5,1,5
AllInOne Shop API,com.allinoneshop.dto,ProductPriceDTO,357,34,70,0,9,3,55,3,20,3
AllInOne Shop API,com.allinoneshop.dto,ApiResponse.ApiResponseBuilder,37,0,0,0,1,0,6,0,6,0
AllInOne Shop API,com.allinoneshop.dto,CategoryDTO,136,36,30,0,0,7,20,8,5,8
AllInOne Shop API,com.allinoneshop.dto,SearchRequest,454,84,94,0,2,13,54,22,7,22
AllInOne Shop API,com.allinoneshop.dto,ProductDTO,598,124,118,0,4,17,78,22,19,22
AllInOne Shop API,com.allinoneshop.dto,UserDTO.UserDTOBuilder,15,49,0,0,0,1,1,8,1,8
AllInOne Shop API,com.allinoneshop.dto,SearchRequest.SearchRequestBuilder,115,0,0,0,1,0,14,0,14,0
AllInOne Shop API,com.allinoneshop.dto,ProductPriceDTO.ProductPriceDTOBuilder,23,63,0,0,0,1,1,10,1,10
AllInOne Shop API,com.allinoneshop.dto,PagedResponse.PagedResponseBuilder,13,42,0,0,0,1,1,7,1,7
AllInOne Shop API,com.allinoneshop.dto,StoreDTO.StoreDTOBuilder,13,42,0,0,0,1,1,7,1,7
AllInOne Shop API,com.allinoneshop.dto,CategoryDTO.CategoryDTOBuilder,9,28,0,0,0,1,1,5,1,5
AllInOne Shop API,com.allinoneshop.dto,ApiResponse,182,0,26,0,20,0,29,0,16,0
AllInOne Shop API,com.allinoneshop.dto,UpdateProfileRequest,167,0,30,0,6,0,27,0,12,0
AllInOne Shop API,com.allinoneshop.controller,SearchHistoryController,50,0,4,0,11,0,6,0,4,0
AllInOne Shop API,com.allinoneshop.controller,AdminController,29,0,0,0,6,0,4,0,4,0
